key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,Age,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,4.278935,-0.009287926,-0.300825593,1,0,0,6.51734,cont1,0.002063983,-0.300825593,1,0,0,7.0791,stop_stud,0,0,0,21,1,0.016,0.012,0.004,taste,touch,flu,images/taste-touch-arial1.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002063983,-0.300825593,1,0,0,6.61915,stop_stud,0,1,1,10,1,0.056,0.031,0.025,native,foreign,flu,images/native-foreign-arial1.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002063983,-0.300825593,1,0,0,4.35263,stop_stud,0,2,2,16,1,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002063983,-0.300825593,1,0,0,2.735285,stop_stud,0,3,3,14,1,0.036,0.031,0.005,paint,picture,SF,images/paint-picture-sf.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.007223942,-0.309081527,1,0,0,2.634235,stop_stud,0,4,4,8,1,0.019,0.028,0.009,lunch,supper,SF,images/lunch-supper-sf.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.008255934,-0.309081527,1,0,0,3.485295,stop_stud,0,5,5,7,1,0.027,0.041,0.014,group,meeting,flu,images/group-meeting-arial1.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.003095975,-0.312177503,1,0,0,2.80682,stop_stud,0,6,6,3,1,0.035,0.046,0.011,college,student,SF,images/college-student-sf.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.009287926,-0.29876161,1,0,0,2.67912,stop_stud,0,7,7,4,1,0.018,0.011,0.007,curve,shape,SF,images/curve-shape-sf.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.009287926,-0.29876161,1,0,0,2.334995,stop_stud,0,8,8,15,1,0.014,0.03,0.016,people,world,flu,images/people -world-arial1.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.009287926,-0.29876161,1,0,0,1.88357,stop_stud,0,9,9,23,1,0.051,0.049,0.002,train,plane,SF,images/train-plane-sf.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.009287926,-0.29876161,1,0,0,2.451055,stop_stud,0,10,10,11,1,0.034,0.034,0,novel,story,SF,images/novel-story-sf.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.009287926,-0.29876161,1,0,0,2.00127,stop_stud,0,11,11,12,1,0.014,0.021,0.007,object,symbol,flu,images/object-symbol-arial1.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.009287926,-0.29876161,1,0,0,2.072825,stop_stud,0,12,12,19,1,0.021,0.053,0.032,sheet,cover,flu,images/sheet-cover-arial1.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.009287926,-0.29876161,1,0,0,1.828325,stop_stud,0,13,13,5,1,0.033,0.027,0.006,engine,machine,SF,images/engine-machine-sf.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.009287926,-0.29876161,1,0,0,1.901005,stop_stud,0,14,14,2,1,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.009287926,-0.29876161,1,0,0,1.90065,stop_stud,0,15,15,9,1,0.042,0.055,0.013,nation,state,SF,images/nation-state-sf.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.009287926,-0.29876161,1,0,0,1.43408,stop_stud,0,16,16,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.009287926,-0.29876161,1,0,0,1.71715,stop_stud,0,17,17,0,1,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.009287926,-0.29876161,1,0,0,1.584065,stop_stud,0,18,18,18,1,0.015,0.024,0.009,report,weather,SF,images/report-weather-sf.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.009287926,-0.29876161,1,0,0,1.74926,stop_stud,0,19,19,20,1,0.067,0.047,0.02,stick,branch,flu,images/stick-branch-arial1.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.009287926,-0.29876161,1,0,0,1.700885,stop_stud,0,20,20,17,1,0.015,0.028,0.013,range,rifle,SF,images/range-rifle-sf.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.009287926,-0.29876161,1,0,0,1.73368,stop_stud,0,21,21,22,1,0.039,0.02,0.019,throat ,voice ,flu,images/throat-voice-arial1.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.009287926,-0.29876161,1,0,0,1.900855,stop_stud,0,22,22,13,1,0.014,0.01,0.004,office,doctor ,SF,images/office-doctor-sf.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.009287926,-0.29876161,1,0,0,1.400235,stop_stud,0,23,23,1,1,0.04,0.019,0.021,block,street,flu,images/block-street-arial1.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,49.07120743,0.140815,98.09081527,15.9267,0.003095975,-0.400928793,1,0,0,4.017835,polygon,corner,-0.036119711,-0.011867905,1,0,0,1.37746,polygon_2,1,angle,0,0,0,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,worker,-0.098039216,0.002579979,1,0,0,1.03992,polygon_2,1,factory,0,1,1,6,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.019,0.028,0.009,lunch,supper,SF,images/lunch-supper-sf.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,dinner,-0.098039216,-0.005675955,1,0,0,0.93078,polygon_2,1,lunch,0,2,2,8,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,Male,ATCW7GWYA922U,29,Yes,2020-12-28_13h52.55.091,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,dollar,-0.095975232,-0.007739938,1,0,0,0.77687,polygon_2,1,quarter,0,3,3,16,1,,,,,,,
