key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,2.44787,0.025290872,-0.308801238,1,0,0,1.73623,cont1,0,0,0,6,1,factory product,0.02,0.028,0.008,factory,product,SF,images/factory-product-sf.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,1,1,15,1,people world,0.014,0.03,0.016,people,world,SF,images/people-world-sf.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,2,2,23,1,train plane,0.051,0.049,0.002,train,plane,flu,images/train-plane-arial1.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,3,3,4,1,curve shape,0.018,0.011,0.007,curve,shape,flu,images/curve-shape-arial1.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,4,4,14,1,paint picture,0.036,0.031,0.005,paint,picture,flu,images/paint-picture-arial1.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,5,5,18,1,report weather,0.015,0.024,0.009,report,weather,flu,images/report-weather-arial1.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,6,6,9,1,nation state,0.042,0.055,0.013,nation,state,flu,images/nation-state-arial1.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,7,7,17,1,range rifle,0.015,0.028,0.013,range,rifle,flu,images/range-rifle-arial1.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,8,8,21,1,taste touch,0.016,0.012,0.004,taste,touch,SF,images/taste-touch-sf.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,9,9,20,1,stick branch,0.067,0.047,0.02,stick,branch,SF,images/stick-branch-sf.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,10,10,3,1,college student ,0.035,0.046,0.011,college,student,flu,images/college - student-arial1.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,11,11,16,1,quarter dollar,0.061,0.027,0.034,quarter,dollar,flu,images/quarter-dollar-arial1.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,12,12,7,1,group meeting,0.027,0.041,0.014,group,meeting,SF,images/group-meeting-sf.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,13,13,0,1,angle corner,0.02,0.029,0.009,angle,corner,SF,images/angle-corner-sf.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,14,14,2,1,child mother,0.03,0.01,0.02,child,mother,SF,images/child-mother-sf.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,15,15,1,1,block street,0.04,0.019,0.021,block,street,SF,images/block-street-sf.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,16,16,5,1,engine machine,0.033,0.027,0.006,engine,machine,flu,images/engine-machine-arial1.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,17,17,10,1,native foreign,0.056,0.031,0.025,native,foreign,SF,images/native-foreign-sf.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,18,18,13,1,office doctor,0.014,0.01,0.004,office,doctor ,flu,images/office-doctor-arial1.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,19,19,11,1,novel story,0.034,0.034,0,novel,story,flu,images/novel-story-arial1.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,20,20,22,1,throat voice,0.039,0.02,0.019,throat ,voice ,SF,images/throat-voice-sf.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,21,21,8,1,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,22,22,19,1,sheet cover,0.021,0.053,0.032,sheet,cover,SF,images/sheet-cover-sf.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,23,23,12,1,object symbol,0.014,0.021,0.007,object,symbol,SF,images/object-symbol-sf.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,nation state,0.042,0.055,0.013,nation,state,flu,images/nation-state-arial1.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,65.6803299,3.126545,71.9524563,0.97032,0.008093159,-0.428174029,1,0,0,1.029935,polygon,people,-0.072837609,0.015933218,1,0,0,0.992955,polygon_2,1,nation,0,0,0,9,1,,,,,,,
,,,,,,,,,,,,,,novel story,0.034,0.034,0,novel,story,flu,images/novel-story-arial1.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,book,0.020232764,-0.00733436,1,0,0,0.784085,polygon_2,1,novel,0,1,1,11,1,,,,,,,
,,,,,,,,,,,,,,curve shape,0.018,0.011,0.007,curve,shape,flu,images/curve-shape-arial1.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,shape,-0.013151152,-0.00733436,1,0,0,0.767555,polygon_2,1,curve,0,2,2,4,1,,,,,,,
,,,,,,,,,,,,,,college student ,0.035,0.046,0.011,college,student,flu,images/college - student-arial1.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,student,-0.006069777,0.010875049,1,0,0,0.75737,polygon_2,1,college,0,3,3,3,1,,,,,,,
,,,,,,,,,,,,,,throat voice,0.039,0.02,0.019,throat ,voice ,SF,images/throat-voice-sf.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,voice,-0.005058143,-0.00733436,1,0,0,0.721805,polygon_2,1,throat ,0,4,4,22,1,,,,,,,
,,,,,,,,,,,,,,factory product,0.02,0.028,0.008,factory,product,SF,images/factory-product-sf.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,product,-0.029337355,0.003793612,1,0,0,0.652975,polygon_2,1,factory,0,5,5,6,1,,,,,,,
,,,,,,,,,,,,,,group meeting,0.027,0.041,0.014,group,meeting,SF,images/group-meeting-sf.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,meeting,-0.035407157,0.002781947,1,0,0,0.63413,polygon_2,1,group,0,6,6,7,1,,,,,,,
,,,,,,,,,,,,,,train plane,0.051,0.049,0.002,train,plane,flu,images/train-plane-arial1.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,station,-0.214466343,0.01390995,1,0,0,3.571535,polygon_2,1,train,0,7,7,23,1,,,,,,,
,,,,,,,,,,,,,,block street,0.04,0.019,0.021,block,street,SF,images/block-street-sf.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,shape,-0.056651468,-0.002276191,1,0,0,0.83191,polygon_2,1,block,0,8,8,1,1,,,,,,,
,,,,,,,,,,,,,,sheet cover,0.021,0.053,0.032,sheet,cover,SF,images/sheet-cover-sf.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,cover,-0.003034875,-0.010369262,1,0,0,0.7193,polygon_2,1,sheet,0,9,9,19,1,,,,,,,
,,,,,,,,,,,,,,taste touch,0.016,0.012,0.004,taste,touch,SF,images/taste-touch-sf.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,touch,0.004046562,-0.004299459,1,0,0,0.68065,polygon_2,1,taste,0,10,10,21,1,,,,,,,
,,,,,,,,,,,,,,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,supper,0.004046562,0.003793612,1,0,0,0.75952,polygon_2,1,lunch,0,11,11,8,1,,,,,,,
,,,,,,,,,,,,,,quarter dollar,0.061,0.027,0.034,quarter,dollar,flu,images/quarter-dollar-arial1.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,dollar,-0.017197749,-0.014415797,1,0,0,0.60552,polygon_2,1,quarter,0,12,12,16,1,,,,,,,
,,,,,,,,,,,,,,people world,0.014,0.03,0.016,people,world,SF,images/people-world-sf.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,person,-0.038442059,-0.002276191,1,0,0,0.650115,polygon_2,1,people,0,13,13,15,1,,,,,,,
,,,,,,,,,,,,,,engine machine,0.033,0.027,0.006,engine,machine,flu,images/engine-machine-arial1.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,machine,-0.016186053,-0.011380895,1,0,0,0.659815,polygon_2,1,engine,0,14,14,5,1,,,,,,,
,,,,,,,,,,,,,,angle corner,0.02,0.029,0.009,angle,corner,SF,images/angle-corner-sf.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,corner,-0.039453693,-0.043753178,1,0,0,0.82437,polygon_2,1,angle,0,15,15,0,1,,,,,,,
,,,,,,,,,,,,,,native foreign,0.056,0.031,0.025,native,foreign,SF,images/native-foreign-sf.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,foreign,-0.046535068,0.005816849,1,0,0,0.780075,polygon_2,1,native,0,16,16,10,1,,,,,,,
,,,,,,,,,,,,,,stick branch,0.067,0.047,0.02,stick,branch,SF,images/stick-branch-sf.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,branch,-0.0546282,0.020991356,1,0,0,1.15237,polygon_2,1,stick,0,17,17,20,1,,,,,,,
,,,,,,,,,,,,,,child mother,0.03,0.01,0.02,child,mother,SF,images/child-mother-sf.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,mother,-0.127465835,0.014921553,1,0,0,0.8193,polygon_2,1,child,0,18,18,2,1,,,,,,,
,,,,,,,,,,,,,,office doctor,0.014,0.01,0.004,office,doctor ,flu,images/office-doctor-arial1.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,doctor,-0.002023241,-0.019473966,1,0,0,0.8363,polygon_2,1,office,0,19,19,13,1,,,,,,,
,,,,,,,,,,,,,,report weather,0.015,0.024,0.009,report,weather,flu,images/report-weather-arial1.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,paper,-0.019220955,-0.005311092,1,0,0,0.866355,polygon_2,1,report,0,20,20,18,1,,,,,,,
,,,,,,,,,,,,,,object symbol,0.014,0.021,0.007,object,symbol,SF,images/object-symbol-sf.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,subject,-0.007081349,-0.009357659,1,0,0,0.5547,polygon_2,1,object,0,21,21,12,1,,,,,,,
,,,,,,,,,,,,,,range rifle,0.015,0.028,0.013,range,rifle,flu,images/range-rifle-arial1.png,5ef25fdd6a2295940b1f3ab1,2020-12-28_19h36.54.410,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea78f3238d4b5d5cefb799,,,,,,,,,,,,rifle,-0.002023241,-0.002276191,1,0,0,0.61368,polygon_2,1,range,0,22,22,17,1,,,,,,,
